intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
17,6.7,0.5,3.35,1.862275722377765,25.800639292008558,49.55555555555556,29.479184855788105,20.076370699767452
17,6.7,0.8,5.36,1.862275722377765,5.516794082437576,19.97222222222222,16.576739108800744,3.395483113421477
17,6.7,1.2,8.04,1.862275722377765,6.433717142863905,-20.194444444444443,-18.439666983780217,1.7547774606642257
17,6.7,1.5,10.05,1.862275722377765,16.105120413240456,-44.19444444444444,-45.87777834315792,1.683333898713478
18,5.1,0.5,2.55,2.63550678445856,18.79250446931297,38.22222222222222,23.319697378989993,14.902524843232229
18,5.1,0.8,4.08,2.63550678445856,5.156922583511564,15.444444444444445,11.8092438695498,3.635200574894645
18,5.1,1.2,6.119999999999999,2.63550678445856,5.9506601946731426,-14.63888888888889,-12.057923054980183,2.5809658339087065
18,5.1,1.5,7.6499999999999995,2.63550678445856,15.609971155025598,-37.861111111111114,-29.87488590795746,7.986225203153655
19,5.3,0.5,2.65,7.042157592017248,22.33630844348815,35.47222222222222,15.1681039664064,20.304118255815823
19,5.3,0.8,4.24,7.042157592017248,8.49613397740647,13.666666666666666,7.656214979739433,6.010451686927233
19,5.3,1.2,6.359999999999999,7.042157592017248,10.679781856612669,-14.61111111111111,-10.69364659547674,3.9174645156343715
19,5.3,1.5,7.949999999999999,7.042157592017248,18.303148582612792,-36.02777777777778,-27.27163142293205,8.756146354845729
20,5.7,0.5,2.85,2.965953283525977,32.93545782273234,42.05555555555556,16.678805044051288,25.37675051150427
20,5.7,0.8,4.5600000000000005,2.965953283525977,11.672516662224778,16.27777777777778,9.089999017786006,7.187778759991772
20,5.7,1.2,6.84,2.965953283525977,2.1982579274608725,-17.47222222222222,-15.28996970713804,2.1822525150841816
20,5.7,1.5,8.55,2.965953283525977,9.495329348052719,-42.666666666666664,-40.08920887111233,2.577457795554338
21,4.6,0.5,2.3,3.780964044717151,25.266907586844336,34.72222222222222,16.032713976838895,18.689508245383326
21,4.6,0.8,3.6799999999999997,3.780964044717151,9.997716098959655,14.5,8.644006800526654,5.855993199473346
21,4.6,1.2,5.52,3.780964044717151,3.923723673548146,-12.777777777777779,-10.992098487004492,1.7856792907732864
21,4.6,1.5,6.8999999999999995,3.780964044717151,10.92610090429249,-34.333333333333336,-27.88458331746474,6.448750015868594
22,6.7,0.5,3.35,2.705793239124555,33.20459234202004,48.166666666666664,23.04890267353072,25.117763993135945
22,6.7,0.8,5.36,2.705793239124555,10.932138002634723,19.36111111111111,12.815583228279078,6.545527882832033
22,6.7,1.2,8.04,2.705793239124555,4.435894943052842,-20.88888888888889,-17.7257728749085,3.163116013980389
22,6.7,1.5,10.05,2.705793239124555,8.235844114330535,-50.333333333333336,-47.441753735680415,2.891579597652921
23,4.9,0.5,2.45,4.401955694069191,25.933592595389335,34.666666666666664,16.060631673181835,18.60603499348483
23,4.9,0.8,3.9200000000000004,4.401955694069191,10.535283951073243,14.13888888888889,8.863853717356909,5.2750351715319805
23,4.9,1.2,5.88,4.401955694069191,3.2589754631567094,-16.194444444444443,-11.618819950031492,4.575624494412951
23,4.9,1.5,7.3500000000000005,4.401955694069191,11.134121414502024,-37.75,-30.24134418521565,7.508655814784351
24,5.3,0.5,2.65,3.1016182447797442,27.26397955863871,39.47222222222222,15.920328937744765,23.551893284477458
24,5.3,0.8,4.24,3.1016182447797442,10.596206256951922,16.416666666666668,7.88160704245933,8.535059624207339
24,5.3,1.2,6.359999999999999,3.1016182447797442,7.247722359131261,-15.5,-11.072889145852876,4.427110854147124
24,5.3,1.5,7.949999999999999,3.1016182447797442,20.08836629438455,-38.77777777777778,-27.699004291677035,11.078773486100744
25,5.5,0.5,2.75,6.0679765588507895,28.94635903638469,40.72222222222222,20.4056978714886,20.316524350733623
25,5.5,0.8,4.4,6.0679765588507895,12.316499795404859,16.666666666666668,10.540562733286146,6.126103933380522
25,5.5,1.2,6.6,6.0679765588507895,4.13669859384364,-16.805555555555557,-12.193162840582813,4.612392714972744
25,5.5,1.5,8.25,6.0679765588507895,10.689341063141631,-40.30555555555556,-30.562834815490234,9.742720740065323
26,3.8,0.5,1.9,12.351936487452344,36.954007009928226,28.72222222222222,7.481158131211424,21.2410640910108
26,3.8,0.8,3.04,12.351936487452344,20.993434696489942,11.472222222222221,3.9054151039712703,7.566807118250951
26,3.8,1.2,4.56,12.351936487452344,6.264162094102233,-10.916666666666666,-6.141260863193897,4.775405803472769
26,3.8,1.5,5.699999999999999,12.351936487452344,3.1212184977760646,-27.916666666666668,-19.095792802755756,8.820873863910911
27,4.2,0.5,2.1,3.9265367849144317,23.420839477984448,31.416666666666668,13.912127878674534,17.504538787992132
27,4.2,0.8,3.3600000000000003,3.9265367849144317,9.9000707494742,13.194444444444445,7.201912179754781,5.992532264689664
27,4.2,1.2,5.04,3.9265367849144317,3.599782186337845,-11.805555555555555,-9.01050543437919,2.7950501211763648
27,4.2,1.5,6.300000000000001,3.9265367849144317,10.534543856692688,-31.38888888888889,-23.51512643933376,7.87376244955513
28,5.4,0.5,2.7,6.727325587058288,31.416106983182924,40.75,21.13407585574138,19.61592414425862
