intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
19,5.3,0.5,2.65,10.397202093917873,33.30082244881564,35.47222222222222,9.007708256334677,26.464513965887544
19,5.3,0.8,4.24,10.397202093917873,16.418203942494394,13.666666666666666,5.508384854941582,8.158281811725084
19,5.3,1.2,6.359999999999999,10.397202093917873,11.37494813065189,-14.61111111111111,-12.088398563768157,2.5227125473429535
19,5.3,1.5,7.949999999999999,10.397202093917873,20.703492475266668,-36.02777777777778,-20.279392261054355,15.748385516723424
20,5.7,0.5,2.85,5.972509672216413,49.25271248023331,42.05555555555556,2.1685361780243513,39.8870193775312
20,5.7,0.8,4.5600000000000005,5.972509672216413,20.272174157279395,16.27777777777778,2.3629119994224883,13.91486577835529
20,5.7,1.2,6.84,5.972509672216413,8.19125505678888,-17.47222222222222,-9.019799161742789,8.452423060479433
20,5.7,1.5,8.55,5.972509672216413,23.0082807917587,-42.666666666666664,-24.074127636492065,18.5925390301746
21,4.6,0.5,2.3,5.174675434216018,33.56100617308575,34.72222222222222,1.9089954854540412,32.81322673676818
21,4.6,0.8,3.6799999999999997,5.174675434216018,12.040920173341297,14.5,2.213702210565807,12.286297789434194
21,4.6,1.2,5.52,5.174675434216018,13.789719081496495,-12.777777777777779,-5.989150599183836,6.788627178593942
21,4.6,1.5,6.8999999999999995,5.174675434216018,28.98839417037807,-34.333333333333336,-13.569609085302469,20.76372424803087
22,6.7,0.5,3.35,8.949474997776338,50.401572309683914,48.166666666666664,4.546377919830068,43.62028874683659
22,6.7,0.8,5.36,8.949474997776338,16.193214806675414,19.36111111111111,7.12604111451174,12.235069996599371
22,6.7,1.2,8.04,8.949474997776338,12.18942718366182,-20.88888888888889,-12.867569790477509,8.02131909841138
22,6.7,1.5,10.05,8.949474997776338,30.827180773416735,-50.333333333333336,-31.861777975981138,18.471555357352198
23,4.9,0.5,2.45,6.566686611871383,35.31981406272991,34.666666666666664,4.804368186287803,29.86229848037886
23,4.9,0.8,3.9200000000000004,6.566686611871383,14.22888431206387,14.13888888888889,4.263957608191824,9.874931280697066
23,4.9,1.2,5.88,6.566686611871383,9.21490391875222,-16.194444444444443,-8.044822866829767,8.149621577614676
23,4.9,1.5,7.3500000000000005,6.566686611871383,22.55580112694223,-37.75,-18.763549128334144,18.986450871665856
24,5.3,0.5,2.65,15.005550454719236,42.131076589159484,39.47222222222222,9.54844474376096,29.92377747846126
